DATE,NOx,PM10,SO2,Year,Month,Day,DayOfWeek,Pressure_t,Temp_t,RH_t,Rainfall_t,WindDir_t,WindSp_t,Favorable,ln_PRD_NOx,ln_PRD_PM10,ln_PRD_SO2,ln_NOx,ln_PM10,ln_SO2,ln_PRD_NOx_lag1,ln_PRD_PM10_lag1,ln_PRD_SO2_lag1,Post2013,month_year
2001-03-28,93.5,52.0,12.0,2001,3,28,2,1010.8,21.0,79,0.05,60.0,21.7,1,7.392085826372885,7.382602301169938,7.338498886237493,4.537961436294641,3.9512437185814275,2.4849066497880004,7.392085826372885,7.382602301169938,7.338498886237493,0,2001_3
2001-03-29,72.0,65.0,10.0,2001,3,29,3,1013.9,19.9,71,0.6,70.0,27.5,0,7.392085826372885,7.382602301169938,7.338498886237493,4.276666119016055,4.174387269895637,2.302585092994046,7.392085826372885,7.382602301169938,7.338498886237493,0,2001_3
2001-03-30,112.0,55.0,10.0,2001,3,30,4,1015.1,20.4,75,0.0,70.0,24.5,0,7.392085826372885,7.382602301169938,7.338498886237493,4.718498871295094,4.007333185232471,2.302585092994046,7.392085826372885,7.382602301169938,7.338498886237493,0,2001_3
2001-03-31,126.0,56.5,11.0,2001,3,31,5,1016.5,21.9,81,0.05,60.0,18.1,1,7.392085826372885,7.382602301169938,7.338498886237493,4.836281906951478,4.034240638152395,2.3978952727983707,7.392085826372885,7.382602301169938,7.338498886237493,0,2001_3
2001-04-01,63.5,62.0,6.0,2001,4,1,6,1017.1,20.4,82,0.05,80.0,39.3,0,7.394851760371234,7.3871231556515236,7.38852206871152,4.151039905898646,4.127134385045092,1.791759469228055,7.392085826372885,7.382602301169938,7.338498886237493,0,2001_4
2001-04-02,114.5,60.0,9.0,2001,4,2,0,1012.6,21.9,83,0.05,50.0,16.9,0,7.394851760371234,7.3871231556515236,7.38852206871152,4.740574822994295,4.0943445622221,2.1972245773362196,7.394851760371234,7.3871231556515236,7.38852206871152,0,2001_4
2001-04-03,126.0,56.0,28.0,2001,4,3,1,1010.3,24.0,81,0.0,230.0,6.8,0,7.394851760371234,7.3871231556515236,7.38852206871152,4.836281906951478,4.02535169073515,3.332204510175204,7.394851760371234,7.3871231556515236,7.38852206871152,0,2001_4
2001-04-04,107.0,22.0,10.0,2001,4,4,2,1012.2,20.7,93,41.3,70.0,34.3,0,7.394851760371234,7.3871231556515236,7.38852206871152,4.672828834461906,3.091042453358316,2.302585092994046,7.394851760371234,7.3871231556515236,7.38852206871152,0,2001_4
2001-04-05,74.5,21.0,6.0,2001,4,5,3,1013.6,19.9,89,17.9,60.0,29.8,1,7.394851760371234,7.3871231556515236,7.38852206871152,4.310799125385514,3.044522437723423,1.791759469228055,7.394851760371234,7.3871231556515236,7.38852206871152,0,2001_4
2001-04-06,106.5,28.0,7.0,2001,4,6,4,1013.3,20.2,92,5.0,50.0,24.3,1,7.394851760371234,7.3871231556515236,7.38852206871152,4.66814498514948,3.332204510175204,1.9459101490553132,7.394851760371234,7.3871231556515236,7.38852206871152,0,2001_4
2001-04-07,118.0,31.0,9.0,2001,4,7,5,1011.9,20.8,92,0.2,40.0,14.1,0,7.394851760371234,7.3871231556515236,7.38852206871152,4.770684624465665,3.4339872044851463,2.1972245773362196,7.394851760371234,7.3871231556515236,7.38852206871152,0,2001_4
2001-04-08,101.5,31.0,11.0,2001,4,8,6,1006.3,24.3,90,0.1,210.0,22.1,0,7.394851760371234,7.3871231556515236,7.38852206871152,4.620058798481842,3.4339872044851463,2.3978952727983707,7.394851760371234,7.3871231556515236,7.38852206871152,0,2001_4
2001-04-09,139.5,28.0,10.5,2001,4,9,0,1008.7,23.1,95,46.6,40.0,18.5,1,7.394851760371234,7.3871231556515236,7.38852206871152,4.93806460126142,3.332204510175204,2.3513752571634776,7.394851760371234,7.3871231556515236,7.38852206871152,0,2001_4
2001-04-10,76.5,34.0,6.0,2001,4,10,1,1012.7,21.4,89,0.3,70.0,33.1,0,7.394851760371234,7.3871231556515236,7.38852206871152,4.33729074083249,3.5263605246161616,1.791759469228055,7.394851760371234,7.3871231556515236,7.38852206871152,0,2001_4
2001-04-11,91.5,22.0,13.5,2001,4,11,2,1015.7,18.1,84,4.2,360.0,30.8,1,7.394851760371234,7.3871231556515236,7.38852206871152,4.516338972281476,3.091042453358316,2.6026896854443837,7.394851760371234,7.3871231556515236,7.38852206871152,0,2001_4
