Year,Month,Day,Pressure_t,Temp_t,RH_t,Rainfall_t,WindDir_t,WindSp_t
2001,6,1,1011.1,26.2,74,0.0,80.0,31.6
2001,6,2,1011.6,25.8,86,1.7,80.0,20.3
2001,6,3,1010.6,27.4,82,0.05,110.0,11.1
2001,6,4,1006.5,28.7,78,0.0,210.0,23.5
2001,6,5,1005.1,27.5,85,73.6,210.0,25.0
2001,6,6,1006.4,26.3,91,54.7,100.0,11.4
2001,6,7,1006.5,25.9,91,72.3,170.0,18.3
2001,6,8,1006.3,24.9,95,131.3,140.0,13.0
2001,6,9,1006.2,26.1,93,54.5,170.0,20.7
2001,6,10,1005.5,28.2,83,4.4,190.0,24.7
2001,6,11,1006.0,26.3,90,101.3,200.0,17.7
2001,6,12,1005.5,27.3,88,73.2,220.0,23.4
2001,6,13,1002.4,27.7,84,41.6,220.0,36.4
2001,6,14,1002.9,26.7,82,0.4,270.0,10.6
2001,6,15,1004.7,27.1,88,4.9,90.0,8.2
2001,6,16,1005.5,28.3,84,7.1,170.0,18.5
2001,6,17,1006.4,29.2,79,0.05,160.0,14.5
2001,6,18,1004.6,29.6,75,0.0,200.0,11.4
2001,6,19,1001.7,29.6,75,0.0,230.0,16.4
2001,6,20,1002.5,28.8,85,29.9,210.0,16.1
2001,6,21,1003.9,29.4,82,0.0,140.0,14.0
2001,6,22,1003.7,30.0,77,0.05,60.0,15.4
2001,6,23,1002.0,29.6,81,39.4,230.0,16.9
2001,6,24,1004.9,28.0,85,39.3,100.0,14.2
2001,6,25,1004.8,26.5,94,106.1,110.0,25.1
2001,6,26,1004.1,26.6,92,73.1,130.0,36.6
2001,6,27,1006.3,25.9,93,136.4,120.0,31.0
2001,6,28,1007.3,28.1,87,5.2,100.0,23.4
2001,6,29,1007.2,28.6,84,2.9,90.0,23.2
2001,6,30,1004.6,27.7,89,30.3,70.0,37.5
2001,7,1,1002.1,27.1,88,57.8,90.0,51.3
2001,7,2,1004.7,27.3,88,11.8,110.0,41.5
2001,7,3,1005.4,27.9,85,6.9,90.0,28.6
2001,7,4,998.9,29.7,68,0.0,290.0,16.3
2001,7,5,990.1,30.1,69,15.8,350.0,36.6
2001,7,6,986.5,26.7,87,142.1,190.0,59.3
2001,7,7,1002.6,28.6,84,8.8,150.0,45.8
2001,7,8,1008.8,28.1,89,1.4,100.0,19.5
2001,7,9,1008.8,29.0,81,0.0,220.0,9.0
2001,7,10,1006.9,29.1,78,0.0,250.0,21.5
2001,7,11,1004.4,29.3,80,0.0,260.0,28.5
2001,7,12,1002.3,29.5,82,0.0,240.0,29.9
2001,7,13,1003.7,27.0,83,41.0,270.0,15.1
2001,7,14,1006.3,29.3,80,1.2,190.0,23.5
2001,7,15,1007.6,26.0,92,114.0,200.0,15.3
2001,7,16,1006.5,27.0,87,1.0,230.0,7.4
2001,7,17,1003.3,27.2,87,37.0,210.0,22.7
2001,7,18,1002.3,26.8,89,45.8,230.0,25.0
2001,7,19,1004.7,27.0,89,10.8,160.0,10.4
2001,7,20,1004.8,27.6,90,21.5,90.0,16.5
2001,7,21,1005.3,26.8,93,87.3,110.0,27.6
2001,7,22,1008.0,28.0,87,4.2,110.0,19.2
2001,7,23,1006.9,29.1,78,0.0,230.0,7.9
2001,7,24,1003.7,28.1,84,14.5,10.0,18.9
2001,7,25,1003.0,26.7,86,17.7,90.0,54.2
2001,7,26,1006.5,27.0,90,15.8,110.0,25.3
2001,7,27,1006.9,28.1,87,0.05,120.0,16.0
2001,7,28,1006.1,28.8,80,0.0,150.0,10.2
2001,7,29,1005.6,29.2,78,0.0,240.0,18.2
2001,7,30,1005.7,29.9,77,0.05,230.0,25.7
2001,7,31,1004.9,30.2,76,0.05,230.0,24.3
2001,8,1,1004.3,28.6,83,11.3,230.0,19.7
2001,8,2,1006.2,26.9,90,54.5,120.0,14.7
2001,8,3,1010.3,27.7,87,0.05,60.0,20.0
2001,8,4,1011.2,29.1,77,0.0,70.0,13.3
2001,8,5,1010.6,29.3,83,0.2,70.0,22.8
2001,8,6,1008.0,29.7,79,0.05,220.0,10.0
2001,8,7,1005.6,30.1,75,0.0,240.0,18.6
2001,8,8,1006.3,30.3,75,0.0,200.0,11.9
2001,8,9,1007.9,30.0,79,0.05,90.0,20.7
2001,8,10,1008.3,29.0,85,20.9,90.0,24.8
2001,8,11,1009.7,28.9,82,1.6,150.0,12.2
2001,8,12,1008.9,28.8,82,32.1,90.0,5.5
2001,8,13,1008.3,29.0,76,0.5,80.0,10.3
2001,8,14,1008.5,29.5,78,0.0,60.0,12.3
2001,8,15,1006.5,29.1,79,0.6,40.0,11.0
2001,8,16,1004.1,28.5,78,0.1,30.0,10.5
2001,8,17,1003.6,29.1,77,0.0,40.0,17.5
2001,8,18,1003.9,29.8,72,0.0,80.0,16.8
2001,8,19,1004.7,29.2,78,1.3,90.0,13.5
2001,8,20,1005.9,29.9,73,0.0,70.0,15.0
2001,8,21,1005.2,30.1,76,0.0,90.0,10.7
2001,8,22,1003.4,30.2,76,0.0,230.0,6.3
2001,8,23,1002.2,31.0,74,0.0,230.0,19.0
2001,8,24,1001.8,30.9,76,0.0,230.0,18.2
2001,8,25,1003.1,30.3,77,0.0,140.0,7.6
2001,8,26,1002.9,30.4,75,0.0,40.0,12.8
2001,8,27,1001.7,29.3,78,32.3,50.0,25.5
2001,8,28,1000.2,27.3,88,17.4,60.0,46.7
2001,8,29,1000.1,26.9,92,51.9,90.0,37.6
2001,8,30,1001.7,26.5,95,90.6,90.0,21.0
2001,8,31,1003.6,29.1,82,3.6,170.0,29.4
2001,9,1,1003.9,27.2,92,133.2,200.0,17.5
2001,9,2,1004.5,26.2,94,33.3,90.0,19.3
2001,9,3,1007.3,26.1,92,73.9,80.0,32.8
2001,9,4,1007.2,26.6,85,0.2,70.0,21.1
2001,9,5,1006.8,25.9,92,100.8,90.0,11.5
2001,9,6,1007.1,27.5,86,4.4,20.0,7.0
2001,9,7,1008.0,26.8,90,98.7,90.0,16.4
2001,9,8,1007.3,27.2,85,32.3,80.0,25.8
2001,9,9,1007.5,27.0,84,1.5,90.0,18.6
2001,9,10,1008.2,27.4,82,0.05,70.0,23.8
2001,9,11,1008.7,27.8,82,0.05,80.0,22.4
2001,9,12,1009.2,28.4,77,0.0,100.0,11.7
2001,9,13,1008.2,28.4,79,0.0,120.0,8.8
2001,9,14,1008.4,27.9,82,6.0,190.0,4.3
2001,9,15,1007.6,29.2,72,0.0,280.0,9.6
2001,9,16,1007.7,29.4,59,0.0,10.0,6.7
2001,9,17,1006.6,29.7,68,0.0,230.0,11.6
2001,9,18,1006.1,30.1,75,0.0,260.0,15.0
2001,9,19,1005.3,30.5,68,0.0,280.0,12.7
2001,9,20,1005.6,28.0,77,52.6,360.0,20.3
2001,9,21,1010.3,26.5,88,26.4,90.0,36.6
2001,9,22,1011.7,27.5,74,0.05,80.0,29.5
2001,9,23,1009.7,28.2,66,0.0,10.0,17.8
2001,9,24,1007.5,29.2,60,0.0,360.0,19.4
2001,9,25,1005.6,29.7,55,0.0,360.0,32.3
2001,9,26,1004.9,29.0,60,0.0,360.0,27.8
2001,9,27,1005.7,29.1,57,0.0,360.0,29.5
2001,9,28,1007.7,29.1,60,0.0,360.0,20.9
2001,9,29,1008.7,29.0,61,0.0,360.0,15.7
2001,9,30,1010.1,29.0,61,0.0,360.0,17.7
2001,10,1,1012.8,28.6,67,9.2,10.0,24.2
2001,10,2,1014.7,27.0,75,0.05,80.0,31.9
2001,10,3,1014.2,27.0,76,0.0,80.0,24.5
2001,10,4,1014.4,27.0,79,0.7,70.0,21.7
2001,10,5,1014.2,26.5,75,0.2,70.0,36.5
2001,10,6,1013.7,26.6,76,0.05,80.0,32.0
2001,10,7,1012.9,26.9,80,0.05,90.0,21.6
2001,10,8,1012.1,27.4,79,0.05,100.0,7.6
2001,10,9,1012.4,26.8,71,0.05,10.0,22.0
2001,10,10,1014.6,26.1,69,0.0,90.0,21.9
2001,10,11,1015.4,26.5,71,0.05,80.0,32.1
2001,10,12,1014.9,26.1,71,0.05,80.0,34.0
2001,10,13,1013.1,25.6,71,0.0,80.0,29.1
2001,10,14,1012.1,25.7,70,0.0,90.0,29.8
2001,10,15,1012.1,26.0,76,0.0,120.0,12.7
2001,10,16,1010.4,27.4,61,0.0,360.0,9.4
2001,10,17,1011.8,26.8,60,0.0,10.0,21.5
2001,10,18,1015.9,25.9,73,0.5,90.0,30.3
2001,10,19,1018.7,25.2,70,0.05,80.0,35.3
2001,10,20,1017.4,25.0,69,0.0,90.0,34.1
2001,10,21,1015.6,25.3,73,0.0,80.0,35.6
2001,10,22,1016.1,26.0,71,0.0,70.0,32.1
2001,10,23,1017.0,25.6,74,0.0,70.0,35.7
2001,10,24,1015.8,25.7,74,0.0,70.0,31.4
2001,10,25,1015.1,25.2,74,0.0,70.0,36.7
2001,10,26,1014.8,25.4,79,0.0,70.0,25.5
2001,10,27,1014.4,26.0,79,0.0,50.0,11.2
2001,10,28,1015.0,26.3,71,0.0,10.0,18.8
2001,10,29,1017.5,24.0,72,0.1,10.0,26.5
2001,10,30,1017.9,24.2,72,0.0,70.0,29.8
2001,10,31,1017.6,24.9,74,0.0,70.0,24.8
2001,11,1,1017.1,25.8,78,0.0,70.0,16.7
2001,11,2,1015.6,25.7,82,0.0,70.0,24.7
2001,11,3,1014.7,26.2,84,0.05,100.0,12.7
